Id,Category,CorrelationId,Result,ResultReason,ActivityDisplayName,ActivityDateTime,LoggedByService,OperationType,InitiatedByUserId,InitiatedByUserDisplayName,InitiatedByUserPrincipalName,InitiatedByUserIpAddress,InitiatedByAppId,InitiatedByAppDisplayName,InitiatedByAppServicePrincipalId,InitiatedByAppServicePrincipalName,TargetResources,AdditionalDetails
Directory_MDKTA_24470355,UserManagement,cb303ee5-1f94-4798-83c4-de4a3b722b16,Success,,Set user manager,06.02.2020 10:44,Core Directory,Update,,,,,,Delegate 365,eb2d49f1-d194-4bc8-a0ea-6a14a7a20d77,,"[{""id"":""02795d83-9930-44a8-9686-a8708df49b1c"",""type"":""User"",""userPrincipalName"":""Baker@M365x638414.onmicrosoft.com"",""modifiedProperties"":[{""displayName"":""New Manager"",""newValue"":""\""None\"""",""@odata.type"":""microsoft.graph.modifiedProperty""}],""@odata.type"":""microsoft.graph.targetResource""}]",
Directory_MDKTA_24470267,UserManagement,cb303ee5-1f94-4798-83c4-de4a3b722b16,Success,,Update user,06.02.2020 10:44,Core Directory,Update,,,,,,Delegate 365,eb2d49f1-d194-4bc8-a0ea-6a14a7a20d77,,"[{""id"":""02795d83-9930-44a8-9686-a8708df49b1c"",""type"":""User"",""userPrincipalName"":""Baker@M365x638414.onmicrosoft.com"",""modifiedProperties"":[{""displayName"":""TargetId.UserType"",""newValue"":""\""Member\"""",""@odata.type"":""microsoft.graph.modifiedProperty""}],""@odata.type"":""microsoft.graph.targetResource""}]","[{""key"":""UserType"",""value"":""Member"",""@odata.type"":""microsoft.graph.keyValue""}]"
Directory_3TNRZ_23575056,UserManagement,934dfd89-17f0-489b-8d7a-1911965aa05c,Success,,Update user,06.02.2020 10:44,Core Directory,Update,,,,,,Delegate 365,eb2d49f1-d194-4bc8-a0ea-6a14a7a20d77,,"[{""id"":""02795d83-9930-44a8-9686-a8708df49b1c"",""type"":""User"",""userPrincipalName"":""Baker@M365x638414.onmicrosoft.com"",""modifiedProperties"":[{""displayName"":""Mobile"",""oldValue"":""[]"",""newValue"":""[\""+43 4711392345\""]"",""@odata.type"":""microsoft.graph.modifiedProperty""},{""displayName"":""TelephoneNumber"",""oldValue"":""[\""+43 4711392345\""]"",""newValue"":""[\""+1 4711392345\""]"",""@odata.type"":""microsoft.graph.modifiedProperty""},{""displayName"":""Included Updated Properties"",""newValue"":""\""Mobile, TelephoneNumber\"""",""@odata.type"":""microsoft.graph.modifiedProperty""},{""displayName"":""TargetId.UserType"",""newValue"":""\""Member\"""",""@odata.type"":""microsoft.graph.modifiedProperty""}],""@odata.type"":""microsoft.graph.targetResource""}]","[{""key"":""UserType"",""value"":""Member"",""@odata.type"":""microsoft.graph.keyValue""}]"
Directory_N4VFN_33588245,UserManagement,75f829a5-ec90-483c-a23c-a0392e7faca3,Success,,Set user manager,06.02.2020 10:43,Core Directory,Update,,,,,,Delegate 365,eb2d49f1-d194-4bc8-a0ea-6a14a7a20d77,,"[{""id"":""02795d83-9930-44a8-9686-a8708df49b1c"",""type"":""User"",""userPrincipalName"":""Baker@M365x638414.onmicrosoft.com"",""modifiedProperties"":[{""displayName"":""New Manager"",""newValue"":""\""None\"""",""@odata.type"":""microsoft.graph.modifiedProperty""}],""@odata.type"":""microsoft.graph.targetResource""}]",
Directory_N4VFN_33587954,UserManagement,75f829a5-ec90-483c-a23c-a0392e7faca3,Success,,Update user,06.02.2020 10:43,Core Directory,Update,,,,,,Delegate 365,eb2d49f1-d194-4bc8-a0ea-6a14a7a20d77,,"[{""id"":""02795d83-9930-44a8-9686-a8708df49b1c"",""type"":""User"",""userPrincipalName"":""Baker@M365x638414.onmicrosoft.com"",""modifiedProperties"":[{""displayName"":""TargetId.UserType"",""newValue"":""\""Member\"""",""@odata.type"":""microsoft.graph.modifiedProperty""}],""@odata.type"":""microsoft.graph.targetResource""}]","[{""key"":""UserType"",""value"":""Member"",""@odata.type"":""microsoft.graph.keyValue""}]"
Directory_YUO2A_30121243,UserManagement,7cd63ce8-89ca-47ba-aca6-00cc21df333a,Success,,Update user,06.02.2020 10:43,Core Directory,Update,,,,,,Delegate 365,eb2d49f1-d194-4bc8-a0ea-6a14a7a20d77,,"[{""id"":""02795d83-9930-44a8-9686-a8708df49b1c"",""type"":""User"",""userPrincipalName"":""Baker@M365x638414.onmicrosoft.com"",""modifiedProperties"":[{""displayName"":""TelephoneNumber"",""oldValue"":""[]"",""newValue"":""[\""+43 4711392345\""]"",""@odata.type"":""microsoft.graph.modifiedProperty""},{""displayName"":""Included Updated Properties"",""newValue"":""\""TelephoneNumber\"""",""@odata.type"":""microsoft.graph.modifiedProperty""},{""displayName"":""TargetId.UserType"",""newValue"":""\""Member\"""",""@odata.type"":""microsoft.graph.modifiedProperty""}],""@odata.type"":""microsoft.graph.targetResource""}]","[{""key"":""UserType"",""value"":""Member"",""@odata.type"":""microsoft.graph.keyValue""}]"
Directory_9Z6Y5_27238673,UserManagement,11c7a390-d4af-4a5e-a2cf-b5e29411f343,Success,,Add user,06.02.2020 10:41,Core Directory,Add,,,,,,Delegate 365,eb2d49f1-d194-4bc8-a0ea-6a14a7a20d77,,"[{""id"":""3c8fcd1d-1818-4562-afcb-4dbffb4f228a"",""type"":""User"",""userPrincipalName"":""Miller.Jane@M365x638414.onmicrosoft.com"",""modifiedProperties"":[{""displayName"":""AccountEnabled"",""oldValue"":""[]"",""newValue"":""[true]"",""@odata.type"":""microsoft.graph.modifiedProperty""},{""displayName"":""Mobile"",""oldValue"":""[]"",""newValue"":""[\""+43 4711392345\""]"",""@odata.type"":""microsoft.graph.modifiedProperty""},{""displayName"":""StsRefreshTokensValidFrom"",""oldValue"":""[]"",""newValue"":""[\""2020-02-06T10:41:59Z\""]"",""@odata.type"":""microsoft.graph.modifiedProperty""},{""displayName"":""TelephoneNumber"",""oldValue"":""[]"",""newValue"":""[\""+1 4711392345\""]"",""@odata.type"":""microsoft.graph.modifiedProperty""},{""displayName"":""UserPrincipalName"",""oldValue"":""[]"",""newValue"":""[\""Miller.Jane@M365x638414.onmicrosoft.com\""]"",""@odata.type"":""microsoft.graph.modifiedProperty""},{""displayName"":""UserType"",""oldValue"":""[]"",""newValue"":""[\""Member\""]"",""@odata.type"":""microsoft.graph.modifiedProperty""},{""displayName"":""Included Updated Properties"",""newValue"":""\""AccountEnabled, Mobile, StsRefreshTokensValidFrom, TelephoneNumber, UserPrincipalName, UserType\"""",""@odata.type"":""microsoft.graph.modifiedProperty""}],""@odata.type"":""microsoft.graph.targetResource""}]",
Directory_E5ICB_193124913,UserManagement,9d701166-86de-4db6-b549-04396849a20f,Success,,Update user,06.02.2020 10:36,Core Directory,Update,039d63c3-5508-4c92-9faf-201c4ccd3732,,admin@M365x638414.onmicrosoft.com,,,,,,"[{""id"":""938aee9c-e2bf-48c2-a473-77e73d0de690"",""type"":""User"",""userPrincipalName"":""AdeleV@M365x638414.OnMicrosoft.com"",""modifiedProperties"":[{""displayName"":""Mobile"",""oldValue"":""[]"",""newValue"":""[\""+1 425 555 0109\""]"",""@odata.type"":""microsoft.graph.modifiedProperty""},{""displayName"":""Included Updated Properties"",""newValue"":""\""Mobile\"""",""@odata.type"":""microsoft.graph.modifiedProperty""},{""displayName"":""TargetId.UserType"",""newValue"":""\""Member\"""",""@odata.type"":""microsoft.graph.modifiedProperty""}],""@odata.type"":""microsoft.graph.targetResource""}]","[{""key"":""UserType"",""value"":""Member"",""@odata.type"":""microsoft.graph.keyValue""}]"
Directory_XBARB_45186124,UserManagement,688cdfab-5df5-4fbf-b9e3-4fca2a178069,Success,,Delete user,04.02.2020 09:49,Core Directory,Delete,,,,,,Microsoft Substrate Management,2bb3e18f-9bae-4b73-a976-634448cfa5f5,,"[{""id"":""8fd00c7a-7d84-4c50-8923-f6a1eae928d5"",""type"":""User"",""userPrincipalName"":""8fd00c7a7d844c508923f6a1eae928d5ExRemoved-86b969c10c314f3490d823a05f9ac028@M365x638414.onmicrosoft.com"",""modifiedProperties"":[{""displayName"":""Is Hard Deleted"",""newValue"":""\""False\"""",""@odata.type"":""microsoft.graph.modifiedProperty""}],""@odata.type"":""microsoft.graph.targetResource""}]",
Directory_CH37X_51605167,UserManagement,54757f63-b088-4df4-9c63-8af83a0703e4,Success,,Update user,04.02.2020 09:49,Core Directory,Update,,,,,,Microsoft Substrate Management,2bb3e18f-9bae-4b73-a976-634448cfa5f5,,"[{""id"":""8fd00c7a-7d84-4c50-8923-f6a1eae928d5"",""type"":""User"",""userPrincipalName"":""ExRemoved-86b969c10c314f3490d823a05f9ac028@M365x638414.onmicrosoft.com"",""modifiedProperties"":[{""displayName"":""ProxyAddresses"",""oldValue"":""[\""SMTP:ExRemoved-86b969c10c314f3490d823a05f9ac028@M365x638414.onmicrosoft.com\"",\""smtp:Hood@M365x638414.onmicrosoft.com\""]"",""newValue"":""[\""SMTP:Hood@M365x638414.onmicrosoft.com\"",\""smtp:ExRemoved-86b969c10c314f3490d823a05f9ac028@M365x638414.onmicrosoft.com\""]"",""@odata.type"":""microsoft.graph.modifiedProperty""},{""displayName"":""Included Updated Properties"",""newValue"":""\""ProxyAddresses\"""",""@odata.type"":""microsoft.graph.modifiedProperty""},{""displayName"":""TargetId.UserType"",""newValue"":""\""Member\"""",""@odata.type"":""microsoft.graph.modifiedProperty""}],""@odata.type"":""microsoft.graph.targetResource""}]","[{""key"":""UserType"",""value"":""Member"",""@odata.type"":""microsoft.graph.keyValue""}]"
